手机型号,手机品牌,是否gsm,是否cdma,网络类型,电池容量,电池拆卸,后置摄像,外观设计,是否触屏,操作系统,CPU性能,主屏尺寸,分辨率,是否有无线
nokia c5-03,nokia,是,是,单卡双模,1000,是,500,直板,单触屏,symbian,600,3.2,230400,是
nokia c6-00,nokia,是,是,单卡双模,1200,是,500,滑盖,单触屏,symbian,434,3.2,230400,是
nokia c6-01,nokia,是,是,单卡双模,1050,是,800,直板,触屏,symbian,680,3.2,230400,是
nokia c7-00,nokia,是,是,单卡双模,1200,是,800,直板,触屏,symbian,680,3.5,230400,是
nokia e50,nokia,是,否,单卡单模,970,是,130,直板,否,symbian,220,2,76800,是
nokia e5-00,nokia,是,是,单卡双模,1200,是,500,直板,否,symbian,600,2.36,76800,是
nokia e52,nokia,是,是,单卡双模,1500,是,320,直板,否,symbian,600,2.4,76800,是
nokia e6-00,nokia,是,是,单卡双模,1200,是,500,滑盖,单触屏,symbian,434,3.2,230400,是
nokia e63,nokia,是,是,单卡双模,1500,是,200,直板,否,symbian,369,2.36,76800,否
nokia e65,nokia,是,是,单卡双模,1100,是,200,滑盖,否,symbian,220,2.4,76800,否
nokia e66,nokia,是,是,单卡单模,1000,是,320,滑盖,否,symbian,369,2.4,76800,否
nokia e71,nokia,是,是,单卡双模,1500,是,320,直板,否,symbian,369,2.36,76800,否
nokia e72,nokia,是,是,单卡双模,1500,是,500,直板,否,symbian,600,2.36,76800,是
nokia e75,nokia,是,是,单卡双模,1000,是,320,滑盖,否,symbian,369,2.4,76800,是
nokia e90,nokia,是,是,单卡双模,1500,是,320,翻盖,否,symbian,332,4,281600,否
nokia lumia 520,nokia,是,是,单卡双模,1430,是,500,直板,触屏,windows,1024,4,384000,是
nokia lumia 610,nokia,是,是,单卡双模,1300,是,500,直板,触屏,windows,800,3.7,384000,是
nokia lumia 620,nokia,是,是,单卡多模,1300,是,500,直板,触屏,windows,1024,3.8,384000,是
nokia lumia 710,nokia,是,是,单卡双模,1300,是,500,直板,触屏,windows,1433,3.7,384000,是
nokia lumia 800,nokia,是,是,单卡双模,1450,否,800,直板,触屏,windows,1433,3.7,384000,是
nokia lumia 820,nokia,是,是,单卡双模,1650,是,800,直板,触屏,windows,1536,4.3,384000,是
nokia lumia 900,nokia,是,是,单卡双模,1830,否,800,直板,触屏,windows,1433,4.3,384000,是
nokia lumia 920,nokia,是,是,单卡多模,2000,否,870,直板,触屏,windows,1536,4.5,983040,是
nokia n72,nokia,是,否,单卡单模,970,是,200,直板,否,symbian,200,2.1,36608,否
nokia n73,nokia,是,是,单卡双模,1100,是,320,直板,否,symbian,220,2.4,76800,否
nokia n76,nokia,是,否,单卡单模,700,是,200,翻盖,否,symbian,369,2.4,76800,否
nokia n78,nokia,是,是,单卡单模,1200,是,320,直板,否,symbian,369,2.4,76800,否
nokia n8,nokia,是,是,单卡双模,1200,否,1200,直板,触屏,symbian,680,3.5,230400,是
nokia n80,nokia,否,是,单卡单模,890,是,320,滑盖,否,symbian,369,2.4,146432,否
nokia n8-00,nokia,是,是,单卡双模,1200,否,1200,直板,否,symbian,680,3.5,230400,是
nokia n81,nokia,是,是,单卡双模,1050,是,200,滑盖,否,symbian,369,2.4,76800,是
nokia n85,nokia,是,是,单卡双模,1200,是,500,滑盖,否,symbian,369,2.6,76800,否
nokia n86,nokia,是,是,单卡双模,1200,是,800,滑盖,否,symbian,434,2.6,76800,是
nokia n9,nokia,是,是,单卡双模,1450,否,800,直板,触屏,meego,1024,3.9,409920,是
nokia n900,nokia,是,是,单卡双模,1320,是,500,滑盖,单触屏,maemo,600,3.5,384000,是
nokia n95,nokia,是,是,单卡双模,950,是,500,直板,否,symbian,332,2.6,76800,是
nokia n97,nokia,是,是,单卡双模,1500,是,500,滑盖,单触屏,symbian,434,3.5,230400,否
nokia n97 / n97i,nokia,是,是,单卡双模,1500,是,500,滑盖,单触屏,symbian,434,3.5,230400,是
nokia n97 mini,nokia,是,是,单卡双模,1200,是,500,滑盖,单触屏,symbian,434,3.2,230400,是
nokia n97-4 mini,nokia,是,是,单卡双模,1200,是,500,滑盖,单触屏,symbian,434,3.2,230400,是
nokia x6,nokia,是,是,单卡双模,1320,是,500,直板,触屏,symbian,434,3.2,230400,是
nokia x6-00,nokia,是,是,单卡双模,1320,是,500,直板,触屏,symbian,434,3.2,230400,是
nokia x7-00,nokia,是,是,单卡双模,1200,否,800,直板,触屏,symbian,680,4,230400,是
oppo x909,oppo,是,是,单卡双模,2500,否,1300,直板,触屏,android,1536,5,2073600,是
palm treo 650,palm,是,否,单卡单模,1800,是,30,直板,否,palm,312,1.5,102400,否
palm treo 850,palm,是,否,单卡单模,1500,是,200,直板,否,windows,400,1.5,102400,否
rim blackberry 8800,blackberry,是,否,单卡单模,1150,是,0,直板,否,blackberry,312,2.5,76800,否
rim blackberry 9520 storm ii,blackberry,是,是,单卡双模,1400,是,320,直板,触屏,blackberry,624,3.25,172800,是
rim blackberry 9780 bold,blackberry,是,是,单卡双模,1450,是,500,直板,否,blackberry,624,2.44,172800,是
rim blackberry 9790 bold,blackberry,是,是,单卡双模,1280,是,500,直板,否,blackberry,1024,2.4,172800,是
rim blackberry 9900 bold,blackberry,是,是,单卡双模,1230,是,500,直板,否,blackberry,1228,2.8,307200,是
rim blackberry bold 9700,blackberry,是,是,单卡双模,1450,是,320,直板,否,blackberry,624,2.4,172800,是
rim blackberry bold 9780 onyx,blackberry,是,是,单卡双模,1450,是,500,直板,否,blackberry,624,2.44,172800,是
rim blackberry bold 9780 onyx 2,blackberry,是,是,单卡双模,1450,是,500,直板,否,blackberry,624,2.44,172800,是
rim blackberry bold 9900,blackberry,是,是,单卡双模,1230,是,500,直板,否,blackberry,1228,2.8,307200,是
rim blackberry curve 8520,blackberry,是,否,单卡双模,1150,是,200,直板,否,blackberry,512,2.4,76800,否
rim blackberry q10,blackberry,是,是,单卡双模,2100,是,800,直板,触屏,blackberry,1536,3.1,518400,是
samsung  gt-i8700 omnia 7,samsung,是,是,单卡双模,1500,是,500,直板,触屏,windows,1024,4,384000,是
samsung gt i9300 galaxy s iii,samsung,是,是,单卡双模,2100,是,800,直板,触屏,android,1433,4.8,921600,是
samsung gt-i5800 galaxy 3,samsung,是,是,单卡双模,1500,是,320,直板,触屏,android,667,3.2,96000,是
samsung gt-i8160 galaxy ace ii,samsung,是,是,单卡双模,1500,是,500,直板,触屏,android,800,3.8,384000,是
samsung gt-i9000 galaxy,samsung,是,是,单卡双模,1500,是,500,直板,触屏,android,1024,4,384000,是
samsung gt-i9000 galaxy s,samsung,是,是,双卡单模,1500,是,500,直板,触屏,android,1024,4,384000,是
samsung gt-i9001 galaxy s plus,samsung,是,是,单卡双模,1650,是,500,直板,触屏,android,1433,4,384000,是
samsung gt-i9003 galaxy s,samsung,是,是,单卡双模,1650,是,500,直板,触屏,android,1024,4,384000,是
samsung gt-i9003 galaxy s / sl,samsung,是,是,单卡双模,1650,是,500,直板,触屏,android,1024,4,384000,是
samsung gt-i9023 nexus s,samsung,是,是,单卡双模,1500,是,500,直板,触屏,android,1024,4,384000,是
samsung gt-i9070 galaxy s advance,samsung,是,是,单卡双模,1500,是,500,直板,触屏,android,1024,4,384000,是
samsung gt-i9082 galaxy grand duos,samsung,是,是,双卡双模,2100,是,800,直板,触屏,android,1228,5,384000,是
samsung gt-i9100 galaxy s ii,samsung,是,是,单卡双模,1650,是,800,直板,触屏,android,1228,4.3,384000,是
samsung gt--i9100 galaxy s ii,samsung,是,是,单卡双模,1650,是,800,直板,触屏,android,1228,4.3,384000,是
samsung gt-i9100g galaxy s ii,samsung,是,是,单卡双模,1650,是,800,直板,触屏,android,1228,4.3,384000,是
samsung gt-i9103 galaxy s ii,samsung,是,是,单卡双模,1650,是,500,直板,触屏,android,1024,4.19,384000,是
samsung gt-i9220 / n700 galaxy s iii / galaxy note,samsung,是,是,单卡双模,2500,是,800,直板,触屏,android,1433,5.3,1024000,是
samsung gt-i9220 / n7000 galaxy note,samsung,是,是,单卡双模,2500,是,800,直板,触屏,android,1433,5.3,1024000,是
samsung gt-i9250 galaxy nexus,samsung,是,是,单卡双模,1750,是,500,直板,触屏,android,1228,4.65,921600,是
samsung gt-i9300 galaxy s iii,samsung,是,是,单卡双模,2100,是,800,直板,触屏,android,1433,4.8,921600,是
samsung gt-i9500 galaxy s4,samsung,是,是,单卡双模,2600,是,1300,直板,触屏,android,1638,5,2073600,是
samsung gt-i9505 galaxy s iv,samsung,是,是,单卡双模,2600,是,1300,直板,触屏,android,1946,5,2073600,是
